"Hari/ Tanggal",Waktu,"Jenis/ Kelas","Materi / Kegiatan","Kode Modul Terintegrasi","Pointer Harmonisasi","Pemateri / PJ",Peserta,Tempat,"Status Modul",Catatan
"Kamis, 24 September 2026",12.00-13.00,Registrasi,"REGISTRASI PESERTA",-,"Verifikasi administrasi, ID/name tag, pembagian bahan ajar, modul dan kit",Panitia,SEMUA,Sekretariat,Operasional,"Registrasi mulai pukul 12.00."
"Kamis, 24 September 2026",13.00-14.00,PLENO,"PEMBUKAAN RESMI & SAMBUTAN",-,"Pembukaan, Indonesia Raya, laporan Ketua Panitia, sambutan Ketua PERKEMI Pengprov Jawa Timur, sambutan Ibu Asuh PERKEMI Jawa Timur, sambutan Ketua KONI Jawa Timur, sambutan Ketua Umum PB PERKEMI sekaligus membuka resmi, Hymne PERKEMI, doa, orientasi.","Ketua Panitia / Ketua PERKEMI Pengprov Jatim / Ibu Asuh PERKEMI Jatim / Ketua KONI Jatim / Ketua Umum PB PERKEMI",SEMUA,"MF Hall","Pendukung seluruh modul","Pembukaan selesai pukul 14.00."
"Kamis, 24 September 2026",14.00-14.30,PLENO,"PRE TEST",-,"Evaluasi diagnostik awal materi penataran per jalur","Panitia / Tim Akademik",SEMUA,"MF Hall",Asesmen,"Pre-test Daerah 30 menit (14.00-14.30), Pre-test Nasional 45 menit (14.00-14.45)"
"Kamis, 24 September 2026",14.30-15.00,-,ISHOMA,-,"Istirahat, sholat dan makan",Panitia,SEMUA,"Ruang Makan / Masjid",Operasional,
"Kamis, 24 September 2026",15.00-17.30,PLENO,"FILOSOFI, SEJARAH, AJARAN & PENDIDIKAN SHORINJI KEMPO","PD-02, PN-02, PED-02, PEN-02, WAD-04, WAN-05","Sejarah dan perkembangan, falsafah, tujuan pendidikan, nilai/ajaran, Gyo, Gi-Jutsu-Ryaku, Shu-Ha-Ri, persaudaraan, karakter, fairness dan integritas","Ketua Umum PB PERKEMI - Laksdya TNI (Purn.) Prof. Dr. Agus Setiadji, S.A.P., M.A.",SEMUA,"MF Hall","MODUL INTI",
"Kamis, 24 September 2026",17.30-18.30,-,ISHOMA,-,"Istirahat, sholat dan makan malam",Panitia,SEMUA,"Ruang Makan / Masjid",Operasional,
"Kamis, 24 September 2026",18.30-20.30,PLENO,"QUANTUM MIND FOR CHAMPIONS - PSIKOLOGI MENTAL","PD-06, PN-05","Self-mastery, fokus, kontrol diri, relaksasi, visualisasi, mental training, NLP/hypnotherapy proporsional, decision under pressure","R. Amirul Rasyied Yulianto, S.Psi., M.Si., Psikolog",SEMUA,"MF Hall","INTEGRASI MODUL MENTAL",
"Kamis, 24 September 2026",20.30-20.45,PLENO,"REFLEKSI HARI 1",-,"Review singkat dan pengarahan teknis Hari 2","Panitia / Tim Akademik",SEMUA,"MF Hall","Evidence / refleksi",
"Jumat, 25 September 2026",06.30-07.00,-,"MAKAN PAGI",-,"Persiapan peserta",Panitia,SEMUA,"Ruang Makan",Operasional,
"Jumat, 25 September 2026",07.00-07.15,PLENO,"TRADISI, PEMANASAN & BRIEFING",-,"Tradisi, pemanasan, orientasi target pembelajaran dan pembagian ruang","Panitia / Tim Akademik",SEMUA,"MF Hall",Pendukung,
"Jumat, 25 September 2026",07.15-09.45,PLENO,"KURIKULUM & STANDARDISASI TEKNIK / PRINSIP PEMBELAJARAN DAN ASSESSMENT","PD-03, PN-03, PED-03, PEN-03, WAD-02, WAN-02","Kyu-Dan, Kihon/Hokei, Goho/Juho, standardisasi WSKO/Kyohan, prinsip pembelajaran, kriteria penilaian, interpretasi rules","SS. Wartoyo / SS. Yudi Siswantoro / SS. Andreas Sohliem",SEMUA,"MF Hall","MODUL INTI LINTAS JALUR",
"Jumat, 25 September 2026",09.45-10.00,-,"COFFEE BREAK",-,Rehat,Panitia,SEMUA,"MF Hall",Operasional,
"Jumat, 25 September 2026",10.00-11.30,"3 KELAS PARALEL","BLOK DASAR PROFESI I","PD-03/05, PN-03/05 | PED-03/04, PEN-03/04 | WAD-02/03, WAN-02/03","Pelatih: teknik & metodologi | Penguji: observasi & score sheet | Wasit: rules & positioning","SS. Wartoyo | SS. Yudi Siswantoro | SS. Andreas Sohliem","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3","MODUL INTI",
"Jumat, 25 September 2026",11.30-13.00,-,ISHOMA,-,"Istirahat, sholat Jumat dan makan",Panitia,SEMUA,"Ruang Makan / Masjid",Operasional,
"Jumat, 25 September 2026",13.00-15.30,"3 KELAS PARALEL","BLOK PROFESI II","PD-04/05, PN-04/05 | PED-02/04, PEN-02/04 | WAD-02/03, WAN-02/03","Pelatih: program latihan | Penguji: blueprint/scoring | Wasit: decision management","SS. Wartoyo | SS. Yudi Siswantoro | SS. Andreas Sohliem","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3","MODUL INTI",
"Jumat, 25 September 2026",15.30-15.45,-,"COFFEE BREAK",-,"Rehat, sholat ashar",Panitia,SEMUA,-,Operasional,
"Jumat, 25 September 2026",15.45-18.15,"3 KELAS PARALEL","BLOK PROFESI III","PD-05/06, PN-04/05 | PED-04/05, PEN-04/05 | WAD-03/05, WAN-03/06","Metodologi/microteaching | kalibrasi/moderasi | teknik perwasitan lanjutan dan video review","SS. Wartoyo | SS. Yudi Siswantoro | SS. Andreas Sohliem","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3","MODUL INTI",
"Jumat, 25 September 2026",18.15-19.15,-,ISHOMA,-,"Istirahat, sholat dan makan",Panitia,SEMUA,"Ruang Makan / Masjid",Operasional,
"Jumat, 25 September 2026",18.15-19.15,KUIS,"KUIS MATERI",-,"Kuis pemahaman materi formatif (15 menit)",Panitia,SEMUA,"MF Hall",Operasional,"Durasi pengerjaan kuis 15 menit per jalur"
"Jumat, 25 September 2026",19.15-21.30,"3 KELAS PARALEL","PRAKTIK TERSTRUKTUR & EVIDENCE I","PD-08, PN-07/08 | PED-05/06, PEN-05/07 | WAD-05, WAN-06","Praktik terstruktur, case conference, portofolio/evidence, simulasi, umpan balik","SS. Wartoyo | SS. Yudi Siswantoro | SS. Andreas Sohliem","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3","MODUL PRAKTIK",
"Sabtu, 26 September 2026",06.00-07.00,-,"MAKAN PAGI",-,"Persiapan peserta",Panitia,SEMUA,"Ruang Makan",Operasional,
"Sabtu, 26 September 2026",07.00-07.15,PLENO,"TRADISI, PEMANASAN & BRIEFING",-,"Tradisi, pemanasan, orientasi target pembelajaran dan pembagian ruang","Panitia / Tim Akademik",SEMUA,"MF Hall",Pendukung,
"Sabtu, 26 September 2026",07.15-07.30,PLENO,"KUIS PENGUASAAN MATERI",-,"Kuis pemahaman materi formatif (15 menit)","Panitia / Tim Akademik",SEMUA,"MF Hall",Asesmen,"Kuis 15 menit per jalur"
"Sabtu, 26 September 2026",07.30-09.00,PLENO,"SPORT SCIENCE, FISIK, KEBUGARAN, STAMINA & GIZI","PD-04/06, PN-04/05, WAD-04, WAN-05","Kebugaran, stamina/endurance, strength/power, conditioning, gizi-hidrasi, monitoring","Andri Suyoko, S.Pd., M.Kes.",SEMUA,"MF Hall","INTEGRASI FISIK/STAMINA",
"Sabtu, 26 September 2026",09.00-09.15,-,"COFFEE BREAK",-,Rehat,Panitia,SEMUA,"MF Hall",Operasional,
"Sabtu, 26 September 2026",09.15-11.15,PLENO,"KESEHATAN, KESELAMATAN, CEDERA, PERTOLONGAN PERTAMA & MANAJEMEN RISIKO","PD-07, PN-06, WAD-04, WAN-05, PED-06, PEN-06","Pencegahan/penanganan cedera, pertolongan pertama, stop criteria, rujukan, return to play/training, incident reporting, pengendalian risiko","dr. Gede Chandra Purnama Yudha, Sp.OT (K)",SEMUA,"MF Hall","MODUL KESEHATAN & KESELAMATAN",
"Sabtu, 26 September 2026",11.15-12.15,PLENO,"LEADERSHIP BERBASIS INTEGRITAS","PD-01, PN-01, PED-06, PEN-06, WAD-04, WAN-04/05","Kepemimpinan, etika, integritas, fairness, komunikasi profesional, mentoring","Prof. Dr. Dra. apt. Christina Avanti, M.Si.",SEMUA,"MF Hall",INTEGRASI,
"Sabtu, 26 September 2026",12.15-13.15,-,ISHOMA,-,"Istirahat, sholat dan makan",Panitia,SEMUA,"Ruang Makan / Masjid",Operasional,
"Sabtu, 26 September 2026",13.15-15.30,PLENO,"REGULASI, AD/ART, TATA KELOLA & ADMINISTRASI PB PERKEMI","PD-01, PN-01, PED-01, PEN-01, WAD-01, WAN-01","Hirarki norma, AD/ART, mandat, kewenangan/yurisdiksi, organisasi, administrasi, dokumentasi, audit trail, integritas","Sekjen PB PERKEMI - Kolonel Laut (Purn.) Ir. Doddy W. Laksono, M.M.T.",SEMUA,"MF Hall","MODUL INTI",
"Sabtu, 26 September 2026",15.30-15.45,-,"COFFEE BREAK",-,"Rehat / Sholat Ashar",Panitia,SEMUA,-,Operasional,
"Sabtu, 26 September 2026",15.45-17.30,PLENO,"FISIOLOGI OLAHRAGA & RECOVERY","PD-04, PN-04, PD-07, PN-06","Adaptasi latihan, sistem energi, endurance, fatigue, recovery, monitoring kesiapan","Prof. Dr. dr. H. Sukadiono, M.M.",SEMUA,"MF Hall","INTEGRASI FISIOLOGI",
"Sabtu, 26 September 2026",17.30-18.15,-,ISHOMA,-,"Istirahat, sholat dan makan",Panitia,SEMUA,"Ruang Makan / Masjid",Operasional,
"Sabtu, 26 September 2026",18.15-19.45,PLENO,"PSIKOLOGI SOSIAL & OLAHRAGA","PD-06, PN-05, PED-06, PEN-06, WAD-04, WAN-04","Dinamika kelompok, kohesi, motivasi, komunikasi, bias, fairness, stres dan tekanan sosial","Prof. Dr. Suryanto, M.Si., Psikolog",SEMUA,"MF Hall","INTEGRASI PSIKOLOGI SOSIAL",
"Sabtu, 26 September 2026",19.45-21.30,UJIAN,"POST TEST",-,"Post-test teori evaluasi kelulusan: Daerah (60 menit), Nasional (90 menit)","Panitia / Tim Evaluasi",SEMUA,"MF Hall / Ruang Ujian",UJIAN,"Post-test Daerah 60 menit (19.45-20.45), Post-test Nasional 90 menit (19.45-21.15)"
